Data;Hora;Temperatura
01/08/2018;12;14.7
01/08/2018;18;15.3
02/08/2018;0;15
02/08/2018;12;13.9
02/08/2018;18;16.6
03/08/2018;0;14.3
03/08/2018;12;17
03/08/2018;18;18.9
04/08/2018;0;17.8
04/08/2018;12;18.9
04/08/2018;18;22.1
05/08/2018;0;18.3
05/08/2018;12;18.8
05/08/2018;18;19.7
06/08/2018;0;18
06/08/2018;12;16.6
06/08/2018;18;18.8
07/08/2018;0;16.6
07/08/2018;12;15
07/08/2018;18;21.5
08/08/2018;0;17
08/08/2018;12;18
08/08/2018;18;21
09/08/2018;0;18.9
09/08/2018;12;20.4
09/08/2018;18;21.6
10/08/2018;0;16.2
10/08/2018;12;16
10/08/2018;18;22.6
11/08/2018;0;16.2
11/08/2018;12;14.6
11/08/2018;18;23.6
12/08/2018;0;17.4
12/08/2018;12;16.4
12/08/2018;18;22
13/08/2018;0;17
13/08/2018;12;16
13/08/2018;18;23.5
14/08/2018;0;17
14/08/2018;12;19.3
14/08/2018;18;23.9
15/08/2018;0;19
15/08/2018;12;17.8
15/08/2018;18;19.6
16/08/2018;0;17.2
16/08/2018;12;15.6
16/08/2018;18;16.8
17/08/2018;0;16
17/08/2018;12;17.7
17/08/2018;18;19.6
18/08/2018;0;16.6
18/08/2018;12;17.1
18/08/2018;18;19.7
19/08/2018;0;17.9
19/08/2018;12;20.1
19/08/2018;18;23.8
20/08/2018;0;18.7
20/08/2018;12;17.6
20/08/2018;18;19.8
21/08/2018;0;17.4
21/08/2018;12;16.6
21/08/2018;18;16.6
22/08/2018;0;15.4
22/08/2018;12;14.6
22/08/2018;18;17.4
23/08/2018;0;17
23/08/2018;12;16.8
23/08/2018;18;21.2
24/08/2018;0;18.4
24/08/2018;12;18
24/08/2018;18;18.8
25/08/2018;0;18
25/08/2018;12;22.2
25/08/2018;18;23.6
26/08/2018;0;18.6
26/08/2018;12;16.2
26/08/2018;18;17.8
27/08/2018;0;14.4
27/08/2018;12;16.5
27/08/2018;18;19.3
28/08/2018;0;18.9
28/08/2018;12;17.7
28/08/2018;18;19.4
29/08/2018;0;17.2
29/08/2018;12;19.3
29/08/2018;18;23.6
30/08/2018;0;18
30/08/2018;12;18.7
30/08/2018;18;25.6
31/08/2018;0;21
31/08/2018;12;17.9
31/08/2018;18;22.7
01/09/2018;0;21.8
01/09/2018;12;20
01/09/2018;18;22
02/09/2018;0;19
02/09/2018;12;20.3
02/09/2018;18;22.5
03/09/2018;0;19
03/09/2018;12;19.7
03/09/2018;18;19.8
04/09/2018;0;18.2
04/09/2018;12;19.3
04/09/2018;18;22.6
05/09/2018;0;17.7
05/09/2018;12;16.6
05/09/2018;18;21.2
06/09/2018;0;16.6
06/09/2018;12;17.4
06/09/2018;18;21.4
07/09/2018;0;17.2
07/09/2018;12;19.4
07/09/2018;18;23.2
08/09/2018;0;18.6
08/09/2018;12;18.8
08/09/2018;18;22.4
09/09/2018;0;19.2
09/09/2018;12;20
09/09/2018;18;21.6
10/09/2018;0;18.8
10/09/2018;12;19.4
10/09/2018;18;23
11/09/2018;0;19
11/09/2018;12;17.2
11/09/2018;18;19
12/09/2018;0;18.6
12/09/2018;12;18.6
12/09/2018;18;20
13/09/2018;0;19
13/09/2018;12;19
13/09/2018;18;19.2
14/09/2018;0;18.8
14/09/2018;12;18.8
14/09/2018;18;20.1
15/09/2018;0;19
15/09/2018;12;19.7
15/09/2018;18;20
16/09/2018;0;18
16/09/2018;12;20.3
16/09/2018;18;23.4
17/09/2018;0;19.5
17/09/2018;12;18.6
17/09/2018;18;22.2
18/09/2018;0;19.6
18/09/2018;12;22.8
18/09/2018;18;31.6
19/09/2018;0;21.8
19/09/2018;12;19.8
19/09/2018;18;27
20/09/2018;0;20
20/09/2018;12;24.2
20/09/2018;18;23.8
21/09/2018;0;21.6
21/09/2018;12;22.4
21/09/2018;18;26.8
22/09/2018;0;21
22/09/2018;12;21.4
22/09/2018;18;25.8
23/09/2018;0;21.8
23/09/2018;12;23
23/09/2018;18;26.8
24/09/2018;0;22.6
24/09/2018;12;21.8
24/09/2018;18;26
25/09/2018;0;21.7
25/09/2018;12;22.6
25/09/2018;18;25.1
26/09/2018;0;21.6
26/09/2018;12;21.5
26/09/2018;18;26.3
27/09/2018;0;22
27/09/2018;12;24.8
27/09/2018;18;25.9
28/09/2018;0;22
28/09/2018;12;22
28/09/2018;18;24.7
29/09/2018;0;21.7
29/09/2018;12;23.5
29/09/2018;18;24.7
30/09/2018;0;22.8
30/09/2018;12;24.3
30/09/2018;18;26.5
01/10/2018;0;23.6
01/10/2018;12;25.6
01/10/2018;18;30.4
02/10/2018;0;25
02/10/2018;12;23.4
