Data;Hora;Temperatura
29/08/2018;0;14.3
29/08/2018;12;11.9
30/08/2018;0;18.6
30/08/2018;12;15.3
31/08/2018;0;21.9
31/08/2018;12;18.2
01/09/2018;0;23.2
01/09/2018;12;17.9
02/09/2018;0;18
03/09/2018;12;16
04/09/2018;0;11.9
04/09/2018;12;12.8
05/09/2018;0;11.5
05/09/2018;12;10.1
06/09/2018;0;10.6
06/09/2018;12;8.7
07/09/2018;0;13.2
07/09/2018;12;10.3
08/09/2018;0;15.1
08/09/2018;12;12.7
09/09/2018;0;14.3
10/09/2018;12;13.1
11/09/2018;0;14.7
11/09/2018;12;13.5
12/09/2018;0;13.2
12/09/2018;12;13
13/09/2018;0;13.7
13/09/2018;12;14.1
14/09/2018;0;14.8
14/09/2018;12;14.1
15/09/2018;0;15.3
15/09/2018;12;14
16/09/2018;0;13.3
17/09/2018;12;13.5
18/09/2018;0;17.1
18/09/2018;12;17.3
19/09/2018;0;21.1
19/09/2018;12;19.5
20/09/2018;0;20.5
20/09/2018;12;17.4
21/09/2018;0;15.3
21/09/2018;12;16
22/09/2018;0;20.8
22/09/2018;12;16.9
23/09/2018;0;20.8
24/09/2018;12;22.5
25/09/2018;0;18.5
25/09/2018;12;17.3
26/09/2018;0;17.9
26/09/2018;12;17.7
27/09/2018;0;18.1
27/09/2018;12;19.5
28/09/2018;0;19.1
28/09/2018;12;17.7
29/09/2018;0;17.9
29/09/2018;12;17.5
30/09/2018;0;19.4
01/10/2018;12;20
02/10/2018;0;23.7
02/10/2018;12;18.4
03/10/2018;0;18.3
03/10/2018;12;19.8
04/10/2018;0;21.2
04/10/2018;12;14.2
05/10/2018;0;14.6
05/10/2018;12;14.2
06/10/2018;0;12.3
06/10/2018;12;12.8
07/10/2018;0;11.9
08/10/2018;12;16.6
09/10/2018;0;18.7
09/10/2018;12;21.8
10/10/2018;0;23.2
10/10/2018;12;19.5
11/10/2018;0;17.1
11/10/2018;12;12.8
12/10/2018;0;13.9
12/10/2018;12;15
13/10/2018;0;19.1
13/10/2018;12;23.8
14/10/2018;0;19.1
15/10/2018;12;14.7
16/10/2018;0;14.8
16/10/2018;12;15.5
17/10/2018;0;16.3
17/10/2018;12;20.3
18/10/2018;0;18
18/10/2018;12;20.7
19/10/2018;0;17.5
19/10/2018;12;18.3
20/10/2018;0;15.7
20/10/2018;12;13.6
21/10/2018;0;13.7
22/10/2018;12;13.2
23/10/2018;0;17.8
23/10/2018;12;18.8
24/10/2018;0;17.7
24/10/2018;12;15.5
25/10/2018;0;15.5
25/10/2018;12;17.5
26/10/2018;0;17.7
26/10/2018;12;19.1
27/10/2018;0;18.9
27/10/2018;12;19.8
28/10/2018;0;19.3
29/10/2018;12;13.8
30/10/2018;0;14.7
30/10/2018;12;16.6
31/10/2018;0;17.8
31/10/2018;12;21.9
01/11/2018;0;17.7
01/11/2018;12;18.5
02/11/2018;0;19.5
02/11/2018;12;17.8
03/11/2018;0;18
03/11/2018;12;20.3
04/11/2018;0;17
05/11/2018;12;15.1
06/11/2018;0;14.8
06/11/2018;12;17.3
07/11/2018;0;16.5
07/11/2018;12;17.5
08/11/2018;0;15.2
08/11/2018;12;16.2
09/11/2018;0;13.8
09/11/2018;12;17.3
10/11/2018;0;16.7
10/11/2018;12;18
11/11/2018;0;18.8
12/11/2018;12;19.8
13/11/2018;0;20.6
13/11/2018;12;21.4
14/11/2018;0;25.8
14/11/2018;12;23.8
15/11/2018;0;20.5
15/11/2018;12;20.8
16/11/2018;0;17.1
16/11/2018;12;20.3
17/11/2018;0;18.1
17/11/2018;12;19.1
18/11/2018;0;18.7
19/11/2018;12;14.1
20/11/2018;0;14.1
20/11/2018;12;17.3
21/11/2018;0;15.4
21/11/2018;12;15.4
22/11/2018;0;16.7
22/11/2018;12;19.8
23/11/2018;0;20
23/11/2018;12;24.1
24/11/2018;0;21.2
24/11/2018;12;21.9
25/11/2018;0;23.3
26/11/2018;12;19.1
27/11/2018;0;16.5
27/11/2018;12;17.4
28/11/2018;0;16.6
28/11/2018;12;18.5
29/11/2018;0;19.5
29/11/2018;12;20.1
30/11/2018;0;21.6
30/11/2018;12;24.3
01/12/2018;0;19.1
01/12/2018;12;19.6
01/12/2018;18;26.1
02/12/2018;0;23.2
02/12/2018;12;21.1
02/12/2018;18;22.3
03/12/2018;0;17.2
03/12/2018;12;16.4
03/12/2018;18;19.2
04/12/2018;0;16.5
04/12/2018;12;19.6
04/12/2018;18;26.8
05/12/2018;0;23.6
05/12/2018;12;22.2
05/12/2018;18;29.2
06/12/2018;0;21.5
06/12/2018;12;19.8
06/12/2018;18;29.1
07/12/2018;0;18.3
07/12/2018;12;16.2
07/12/2018;18;19.7
08/12/2018;0;13.8
08/12/2018;12;14.2
08/12/2018;18;20.8
09/12/2018;0;14.4
09/12/2018;12;18
09/12/2018;18;24.9
10/12/2018;0;16.9
10/12/2018;12;19.7
10/12/2018;18;28.9
11/12/2018;0;23.4
11/12/2018;12;25.5
11/12/2018;18;31.9
12/12/2018;0;25.3
12/12/2018;12;26.3
12/12/2018;18;30.2
13/12/2018;0;27.4
13/12/2018;12;25.2
13/12/2018;18;33.2
14/12/2018;0;23
14/12/2018;12;27.3
14/12/2018;18;32.3
15/12/2018;0;26.3
15/12/2018;12;25.3
15/12/2018;18;32
16/12/2018;0;19.8
16/12/2018;12;22.6
16/12/2018;18;30.9
17/12/2018;0;23
17/12/2018;12;24.9
17/12/2018;18;28.5
18/12/2018;0;27.5
18/12/2018;12;24.2
18/12/2018;18;32.5
19/12/2018;0;21.6
19/12/2018;12;22.9
19/12/2018;18;31
20/12/2018;0;25.8
20/12/2018;12;23.5
20/12/2018;18;31.5
21/12/2018;0;26.2
21/12/2018;12;22.7
21/12/2018;18;27.4
22/12/2018;0;20.7
22/12/2018;12;24.2
22/12/2018;18;31
23/12/2018;0;22.1
23/12/2018;12;21.9
23/12/2018;18;27.7
24/12/2018;0;21.2
24/12/2018;12;20.2
24/12/2018;18;24.1
25/12/2018;0;19.7
25/12/2018;12;18.9
25/12/2018;18;24.6
26/12/2018;0;19.1
26/12/2018;12;21.2
26/12/2018;18;27.6
27/12/2018;0;20.2
27/12/2018;12;21.1
27/12/2018;18;25.9
28/12/2018;0;20.2
28/12/2018;12;22.3
28/12/2018;18;28.7
29/12/2018;0;22.5
29/12/2018;12;23.2
29/12/2018;18;25.7
30/12/2018;0;21.9
30/12/2018;12;24.7
30/12/2018;18;27.9
31/12/2018;0;20.8
31/12/2018;12;22.4
31/12/2018;18;26.7
